ID,Z,Ratings,By
1,Coarse,4,Rater 1
2,Fine,8,Rater 1
3,Coarse,6,Rater 1
4,Fine,8,Rater 1
5,Coarse,3,Rater 1
6,Fine,10,Rater 1
7,Coarse,3,Rater 1
8,Fine,9,Rater 1
9,Coarse,2,Rater 1
10,Fine,6,Rater 1
11,Coarse,1,Rater 1
12,Fine,6,Rater 1
13,Coarse,1,Rater 1
14,Fine,7,Rater 1
15,Coarse,1,Rater 1
16,Fine,10,Rater 1
17,Coarse,1,Rater 1
18,Fine,8,Rater 1
19,Coarse,,Rater 1
20,Fine,8,Rater 1
21,Coarse,3,Rater 1
22,Fine,8,Rater 1
23,Coarse,1,Rater 1
24,Fine,5,Rater 1
25,Coarse,1,Rater 1
26,Fine,5,Rater 1
27,Coarse,3,Rater 1
28,Fine,10,Rater 1
29,Coarse,2,Rater 1
30,Fine,6,Rater 1
31,Coarse,2,Rater 1
32,Fine,6,Rater 1
33,Coarse,2,Rater 1
34,Fine,9,Rater 1
35,Coarse,1,Rater 1
36,Fine,4,Rater 1
1,Coarse,3,Rater 2
2,Fine,8,Rater 2
3,Coarse,3,Rater 2
4,Fine,9,Rater 2
5,Coarse,1,Rater 2
6,Fine,10,Rater 2
7,Coarse,2,Rater 2
8,Fine,9,Rater 2
9,Coarse,2,Rater 2
10,Fine,8,Rater 2
11,Coarse,,Rater 2
12,Fine,10,Rater 2
13,Coarse,2,Rater 2
14,Fine,9,Rater 2
15,Coarse,4,Rater 2
16,Fine,7,Rater 2
17,Coarse,,Rater 2
18,Fine,10,Rater 2
19,Coarse,,Rater 2
20,Fine,8,Rater 2
21,Coarse,4,Rater 2
22,Fine,,Rater 2
23,Coarse,1,Rater 2
24,Fine,7,Rater 2
25,Coarse,2,Rater 2
26,Fine,,Rater 2
27,Coarse,5,Rater 2
28,Fine,9,Rater 2
29,Coarse,4,Rater 2
30,Fine,8,Rater 2
31,Coarse,1,Rater 2
32,Fine,5,Rater 2
33,Coarse,1,Rater 2
34,Fine,6,Rater 2
35,Coarse,1,Rater 2
36,Fine,,Rater 2
1,Coarse,1,Rater 3
2,Fine,2,Rater 3
3,Coarse,1,Rater 3
4,Fine,4,Rater 3
5,Coarse,2,Rater 3
6,Fine,6,Rater 3
7,Coarse,3,Rater 3
8,Fine,6,Rater 3
9,Coarse,1,Rater 3
10,Fine,4,Rater 3
11,Coarse,1,Rater 3
12,Fine,8,Rater 3
13,Coarse,1,Rater 3
14,Fine,8,Rater 3
15,Coarse,1,Rater 3
16,Fine,5,Rater 3
17,Coarse,2,Rater 3
18,Fine,6,Rater 3
19,Coarse,1,Rater 3
20,Fine,7,Rater 3
21,Coarse,8,Rater 3
22,Fine,4,Rater 3
23,Coarse,1,Rater 3
24,Fine,5,Rater 3
25,Coarse,1,Rater 3
26,Fine,5,Rater 3
27,Coarse,2,Rater 3
28,Fine,9,Rater 3
29,Coarse,6,Rater 3
30,Fine,5,Rater 3
31,Coarse,4,Rater 3
32,Fine,5,Rater 3
33,Coarse,2,Rater 3
34,Fine,8,Rater 3
35,Coarse,4,Rater 3
36,Fine,8,Rater 3